"POBREZA_CATEGORIA","N","Porcentaje","Ingreso_pc_promedio","Ingreso_pc_mediana","Gasto_pc_promedio","Miembros_promedio"
"Pobre",144,3.93,3396.43366604427,3050.65690104167,1482.57758879728,5.18055555555556
"Pobre extremo",571,15.58,5273.67441254973,4659.4640625,2564.49593451243,4.54816112084063
"Sin información",2951,80.5,13534.6466168256,10799.681640625,7445.2895187205,3.53947814300237
